EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16435 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   CC, Q_CC
  1825, 16435,19610620,    6,    0
  1825, 16435,19610621,    7,    0
  1825, 16435,19610622,    6,    0
  1825, 16435,19610623,    6,    0
  1825, 16435,19610624,    7,    0
  1825, 16435,19610625,    7,    0
  1825, 16435,19610626,    7,    0
  1825, 16435,19610627,    5,    0
  1825, 16435,19610628,    5,    0
  1825, 16435,19610629,    1,    0
  1825, 16435,19610630,    6,    0
  1825, 16435,19610701,    7,    0
  1825, 16435,19610702,    7,    0
  1825, 16435,19610703,    6,    0
  1825, 16435,19610704,    6,    0
  1825, 16435,19610705,    4,    0
  1825, 16435,19610706,    6,    0
  1825, 16435,19610707,    7,    0
  1825, 16435,19610708,    6,    0
  1825, 16435,19610709,    6,    0
  1825, 16435,19610710,    7,    0
  1825, 16435,19610711,    6,    0
  1825, 16435,19610712,-9999,    9
  1825, 16435,19610713,-9999,    9
  1825, 16435,19610714,    5,    0
  1825, 16435,19610715,    7,    0
  1825, 16435,19610716,    7,    0
  1825, 16435,19610717,    7,    0
  1825, 16435,19610718,    7,    0
  1825, 16435,19610719,    7,    0
  1825, 16435,19610720,    8,    0
  1825, 16435,19610721,    8,    0
  1825, 16435,19610722,    7,    0
  1825, 16435,19610723,    7,    0
  1825, 16435,19610724,    8,    0
  1825, 16435,19610725,    7,    0
  1825, 16435,19610726,    7,    0
  1825, 16435,19610727,    7,    0
  1825, 16435,19610728,    7,    0
  1825, 16435,19610729,    7,    0
  1825, 16435,19610730,    6,    0
  1825, 16435,19610731,    7,    0
  1825, 16435,19610801,    6,    0
  1825, 16435,19610802,    6,    0
  1825, 16435,19610803,    5,    0
  1825, 16435,19610804,    6,    0
  1825, 16435,19610805,    4,    0
  1825, 16435,19610806,    5,    0
  1825, 16435,19610807,    6,    0
  1825, 16435,19610808,    7,    0
  1825, 16435,19610809,    8,    0
  1825, 16435,19610810,    7,    0
  1825, 16435,19610811,    6,    0
  1825, 16435,19610812,    6,    0
  1825, 16435,19610813,    7,    0
  1825, 16435,19610814,    6,    0
  1825, 16435,19610815,    7,    0
  1825, 16435,19610816,    6,    0
  1825, 16435,19610817,    6,    0
  1825, 16435,19610818,    6,    0
  1825, 16435,19610819,    7,    0
  1825, 16435,19610820,    7,    0
  1825, 16435,19610821,    7,    0
  1825, 16435,19610822,    5,    0
  1825, 16435,19610823,    6,    0
  1825, 16435,19610824,    4,    0
  1825, 16435,19610825,    6,    0
  1825, 16435,19610826,    4,    0
  1825, 16435,19610827,    5,    0
  1825, 16435,19610828,    6,    0
  1825, 16435,19610829,    3,    0
  1825, 16435,19610830,    4,    0
  1825, 16435,19610831,    5,    0
  1825, 16435,19610901,    4,    0
  1825, 16435,19610902,    8,    0
  1825, 16435,19610903,    7,    0
  1825, 16435,19610904,    8,    0
  1825, 16435,19610905,    7,    0
  1825, 16435,19610906,    6,    0
  1825, 16435,19610907,    6,    0
  1825, 16435,19610908,    7,    0
  1825, 16435,19610909,    5,    0
  1825, 16435,19610910,    6,    0
  1825, 16435,19610911,    4,    0
  1825, 16435,19610912,    6,    0
  1825, 16435,19610913,    6,    0
  1825, 16435,19610914,    3,    0
  1825, 16435,19610915,    6,    0
  1825, 16435,19610916,    7,    0
  1825, 16435,19610917,    2,    0
  1825, 16435,19610918,    1,    0
